Order ID,Payment Method,Card Issuer
2743830,cashless,MONTEPIO GERAL - CAIXA ECONOMI
2753830,cashless,REVOLUT PAYMENTS UAB
2763830,cashless,LANDESBANK BERLIN AG
2773830,cashless,
2783830,cashless,CREDIT AGRICOLE S.A.
301330,cashless,
2793830,cashless,CAIXA GERAL DE DEPOSITOS S.A.
2803831,cashless,MONTEPIO GERAL - CAIXA ECONOMI
311331,cashless,
321331,cash,"METABANK, NATIONAL ASSOCIATION"
2813831,cashless,NOVO BANCO S.A.
2823831,cashless,ORANGE BANK
2833831,cashless,UNICRE - INSTITUICAO FINANCEIRA DE CREDITO S.A.
2843831,cashless,NOVO BANCO S.A.
2853831,cashless,NOVO BANCO S.A.
2863831,cashless,CAIXA GERAL DE DEPOSITOS SA
2873831,cashless,BANKINTER S.A.
2883832,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
2893832,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
2903832,cashless,WIZINK BANK S.A
2913832,cashless,CAIXA CENTRAL DE CREDITO AGRIC
2923832,cashless,CAIXABANK S.A.
2933832,cashless,MONZO BANK LIMITED
2943832,cashless,REVOLUT PAYMENTS UAB
2953832,cashless,BANCO COMERCIAL PORTUGUES S.A.
2963832,cashless,BANCO BNP PARIBAS PERSONAL FIN
331332,cashless,
2973833,cashless,NOVO BANCO S.A.
2983833,cashless,CAIXABANK S.A.
2993833,cashless,INTESA SANPAOLO SPA
3003833,cashless,
3013833,cashless,MONTEPIO GERAL - CAIXA ECONOMI
3023833,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3033833,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3043833,cashless,
3053833,cashless,BANCO COMERCIAL PORTUGUES S.A.
3063833,cashless,ING BANK N.V.
3073834,cashless,BANQUE CHALUS S.A.
3083834,cashless,DZ BANK AG DEUTSCHE ZENTRAL-GE
3093834,cashless,ING-DIBA AG
3103834,cashless,BANCO SANTANDER TOTTA S.A.
341334,cashless,
3113834,cashless,NOVO BANCO S.A.
3123834,cashless,BANCO COMERCIAL PORTUGUES S.A.
3133834,cashless,BANCO COMERCIAL PORTUGUES S.A.
3143834,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3153834,cashless,REVOLUT LTD
351335,cashless,
3163835,cashless,MONZO BANK LIMITED
3173835,cashless,CAIXA GERAL DE DEPOSITOS SA
3183835,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3193835,cashless,NOVO BANCO S.A.
3203835,cashless,NOVO BANCO S.A.
3213835,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3223835,cashless,NOVO BANCO S.A.
3233835,cashless,BANKINTER S.A.
3243835,cashless,BANCO COMERCIAL PORTUGUES S.A.
3253836,cashless,BANCO SANTANDER TOTTA S.A.
3263836,cashless,NOVO BANCO S.A.
3273836,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3283836,cashless,BPCE
3293836,cashless,
361336,cash,
3303836,cashless,BANCO COMERCIAL PORTUGUES S.A.
3313836,cashless,BANCO COMERCIAL PORTUGUES S.A.
3323836,cashless,CAIXA CENTRAL DE CREDITO AGRIC
3333836,cashless,MONTEPIO GERAL - CAIXA ECONOMI
371337,cash,
3343837,cashless,BANQUE FEDERATIVE DU CREDIT MU
3353837,cashless,BANKINTER S.A.
3363837,cashless,BANCO COMERCIAL PORTUGUES S.A.
3373837,cashless,BANCO COMERCIAL PORTUGUES S.A.
3383837,cashless,REVOLUT LTD
381337,cash,
3393837,cashless,BANCO COMERCIAL PORTUGUES S.A.
3403837,cashless,HSBC BANK CANADA
3413837,cashless,BANCO COMERCIAL PORTUGUES S.A.
3423838,cashless,NOVO BANCO S.A.
3433838,cashless,BANCO COMERCIAL PORTUGUES S.A.
3443838,cashless,BPCE
3453838,cashless,BANKINTER S.A.
3463838,cashless,BANCO COMERCIAL PORTUGUES S.A.
3473838,cashless,REVOLUT PAYMENTS UAB
3483838,cashless,BANCO COMERCIAL PORTUGUES S.A.
3493838,cashless,CAIXABANK S.A.
3503838,cashless,"SFS -FINANCIAL SERVICES, IME,"
3513838,cashless,BANCO CTT S.A.
3523839,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3533839,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3543839,cashless,BANCO COMERCIAL PORTUGUES S.A.
391339,cash,
401339,cashless,UMPQUA BANK
3553839,cashless,CAIXA GERAL DE DEPOSITOS SA
3563839,cashless,BANCO CTT S.A.
3573839,cashless,TRANSFERWISE LTD
3583839,cashless,CAIXA GERAL DE DEPOSITOS S.A.
3593839,cashless,BANCO CTT S.A.
411340,cashless,
3603840,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
3613840,cashless,CAIXA GERAL DE DEPOSITOS SA
3623840,cashless,CAIXA CENTRAL DE CREDITO AGRIC
3633840,cashless,MASTERCAJAS S.A.
3643840,cashless,BANCO CTT S.A.
3653840,cashless,BANCO COMERCIAL PORTUGUES S.A.
3663840,cashless,BARCLAYS BANK UK PLC
3673840,cashless,BANCO BNP PARIBAS PERSONAL FIN
3683840,cashless,BANCO COMERCIAL PORTUGUES S.A.
3693841,cashless,CAIXA GERAL DE DEPOSITOS SA
3703841,cashless,BANCO COMERCIAL PORTUGUES S.A.
3713841,cashless,REVOLUT LTD
3723841,cashless,BANCO COMERCIAL PORTUGUES S.A.
3733841,cashless,BANCO COMERCIAL PORTUGUES S.A.
3743841,cashless,BANCO COMERCIAL PORTUGUES S.A.
421341,cashless,
3753841,cashless,REVOLUT LTD
3763841,cashless,BANCO SANTANDER TOTTA S.A.
3773841,cashless,"SFS -FINANCIAL SERVICES, IME,"
3783842,cashless,NOVO BANCO S.A.
3793842,cashless,CAIXA GERAL DE DEPOSITOS SA
3803842,cashless,NOVO BANCO S.A.
